properties,tensile strength,fracture growth rate,impact strength(room tem),impact strength(low tem),bending strength,flexural module,heat distortion temperature,30deg breakdown,50deg breakdown,70deg breakdown,90deg breakdown,110deg breakdown,5_20,10_20,15_20,20_20,25_20,30_20,35_20,40_20,45_20,50_20,55_20,60_20,65_20,70_20,75_20,80_20,5_50,10_50,15_50,20_50,25_50,30_50,35_50,40_50,45_50,50_50,55_50,60_50,65_50,70_50,75_50,80_50,5_70,10_70,15_70,20_70,25_70,30_70,35_70,40_70,45_70,50_70,55_70,60_70,65_70,70_70,75_70,80_70,5_90,10_90,15_90,20_90,25_90,30_90,35_90,40_90,45_90,50_90,55_90,60_90,65_90,70_90,75_90,80_90,5_110,10_110,15_110,20_110,25_110,30_110,35_110,40_110,45_110,50_110,55_110,60_110,65_110,70_110,75_110,80_110
unit,MPa,%,KJ/M2,KJ/M2,MPa,GPa,¡C,kV/mm,kV/mm,kV/mm,kV/mm,kV/mm,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,pA,,,,,,,,,,,,,,,,
MA-AA-2,36.1,123,3.5,1,39.1,1.75,103.3,504,,,351,309,0.03,0.29,0.21,0.33,0.47,0.57,1.06,1.32,2.07,4.44,6.58,10.1,16.21,23.35,31.38,40.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,8.17,41.51,179.03,708.46,2045.21,5749.78,11363.21,14580.34,23704.66,43330.41,60890.97,90745.83,155849.35,203553.18,261124.4,9.1,64.92,233.23,950.2,3388.2,9165.69,16710.36,25503.62,41767.52,72140.64,113691.17,189652.8,310066.87,455999.77,685006.42,930798.22
MA-AA-5,35.7,80,4.5,1.1,38.8,1.78,96.4,476,,,318,273,0.56,0.49,0.92,1.16,1.66,1.42,2.69,4.42,7.15,11.89,18.91,28.82,41.72,57.17,77.06,104.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,26.24,165.16,776.84,3469.76,9170.1,18467.57,40605.81,75111.94,119311,231529.45,363866.13,480364.73,806717.22,1250963.83,1440844.33,21.92,196.05,869.43,4365.32,11730.18,27650.92,73232.93,141962.58,275337.77,604049.5,1142999,2216657.83,4177503.5,5961030.33,__,__
vac-2,34.3,__,3.7,1.1,33.6,1.48,85.1,504,,,362,327,0.1,0.32,0.14,1.22,4.96,14.37,31.92,54.21,76.62,150.01,135.63,195.76,250.24,324.27,418.67,519.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.35,731.92,1543.21,2855.34,4076.29,5073.7,8146.79,12110.14,15676.06,22124.22,27092.35,26821.31,30858.38,34951.46,31281.24,34537.76,982.74,2778.26,4062.12,6983.05,9265.77,11559.97,17046.15,21563.16,28461.79,36817,37495.88,41516.38,46295.45,44954.51,51064.42,52384.55
vac-5,37.6,38.2,4.4,1.1,41.3,1.88,98.2,495,,,362,323,0.04,0.22,0.16,0.19,1.01,2.98,4.8,7.38,11.99,17.99,24.89,34,47,63.29,81.23,117.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.98,708.06,1475.62,2514.15,4963.95,7952.24,14119.86,23789.32,26560.38,32642.31,38607.19,35364.19,40333.59,45527.48,55686.1,__,393.69,1678.29,2854.8,5855.13,9428.16,15924.87,27910.63,33492.39,40552.12,49955.77,48843.46,56336.4,59784.83,60423.78,67322.46,67721.6
t30s,,,,,,,,400,,,359,348,0.39,0.68,0.7,1.02,1.42,2.94,5.12,7.74,11.7,17.22,23.96,33.15,44.77,59.54,77.37,98.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.88,78.66,377.83,1229.91,2548.57,4309.06,6378.91,7953.94,10306.08,12369.95,13965.36,16037.96,16763.71,19854.33,21982.13,23766.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St2,,,,,,,,493,,,439,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St5,,,,,,,,495,,,457,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VTES2,,,,,,,,466,,,366,358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VTES5,,,,,,,,446,,,415,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMA2,,,,,,,,432,,,381,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMA5,,,,,,,,486,,,410,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
